Name	Id	*StringName	GroupName
Null	0	Null	
Act 1 - Town	1	Rogue Encampment	Rogue Encampment
Act 1 - Blood Moor	2	Blood Moor	Blood Moor
Act 1 - Cold Plains	3	Cold Plains	Cold Plains
Act 1 - Stony Field	4	Stony Field	Stony Field
Act 1 - Dark Wood	5	Dark Wood	Dark Wood
Act 1 - Black Marsh	6	Black Marsh	Black Marsh
Act 1 - Tamoe Highland	7	Tamoe Highland	Tamoe Highland
Act 1 - Den of Evil	8	Den of Evil	Den of Evil
Act 1 - Cave	9	Cave	Cave
Act 1 - Underground Passage	10	Underground Passage	Underground Passage
Act 1 - Hole	11	Hole	Hole
Act 1 - Pit	12	Pit	Pit
Act 1 - Burial Grounds	13	Burial Grounds	Burial Grounds
Act 1 - Crypt	14	Crypt	Crypt
Act 1 - Mausoleum	15	Mausoleum	Mausoleum
Act 1 - Forgotten Tower	16	Forgotten Tower	Forgotten Tower
Act 1 - Monastery Gate	17	Monastery Gate	Monastery Gate
Act 1 - Outer Cloister	18	Outer Cloister	Outer Cloister
Act 1 - Barracks	19	Barracks	Barracks
Act 1 - Jail	20	Jail Level 1	Jail
Act 1 - Inner Cloister	21	Inner Cloister	Inner Cloister
Act 1 - Cathedral	22	Cathedral	Cathedral
Act 1 - Catacombs	23	Catacombs	Catacombs
Act 1 - Tristram	24	Tristram	Tristram
Act 1 - Moo Moo Farm	25	Moo Moo Farm	MooMooFarmGroup
Act 2 - Town	26	Lut Gholein	Lut Gholein
Act 2 - Rocky Waste	27	Rocky Waste	Rocky Waste
Act 2 - Dry Hills	28	Dry Hills	Dry Hills
Act 2 - Far Oasis	29	Far Oasis	Far Oasis
Act 2 - Lost City	30	Lost City	Lost City
Act 2 - Valley of Snakes	31	Valley of Snakes	Valley of Snakes
Act 2 - Canyon of the Magi	32	Canyon of the Magi	Canyon of the Magi
Act 2 - Sewers	33	Sewers	Lut Gholein Sewers
Act 2 - Harem	34	Harem	Harem
Act 2 - Palace Cellar	35	Palace Cellar	Palace Cellar
Act 2 - Stony Tomb	36	Stony Tomb	Stony Tomb
Act 2 - Halls of the Dead	37	Halls of the Dead	Halls of the Dead
Act 2 - Claw Viper Temple	38	Claw Viper Temple	Claw Viper Temple
Act 2 - Maggot Lair	39	Maggot Lair	Maggot Lair
Act 2 - Ancient Tunnels	40	Ancient Tunnels	Ancient Tunnels
Act 2 - Tal Rasha's Tomb	41	Tal Rasha's Tomb	Tal Rasha's Tomb
Act 2 - Duriel's Lair	42	Duriel's Lair	Duriel's Lair
Act 2 - Arcane Sanctuary	43	Arcane Sanctuary	Arcane Sanctuary
Act 3 - Town	44	Kurast Docktown	Kurast Docktown
Act 3 - Spider Forest	45	Spider Forest	Spider Forest
Act 3 - Great Marsh	46	Great Marsh	Great Marsh
Act 3 - Flayer Jungle	47	Flayer Jungle	Flayer Jungle
Act 3 - Lower Kurast	48	Lower Kurast	Lower Kurast
Act 3 - Kurast Bazaar	49	Kurast Bazaar	Kurast Bazaar
Act 3 - Upper Kurast	50	Upper Kurast	Upper Kurast
Act 3 - Kurast Causeway	51	Kurast Causeway	Kurast Causeway
Act 3 - Travincal	52	Travincal	Travincal
Act 3 - Arachnid Lair	53	Arachnid Lair	Spider Cave
Act 3 - Spider Cavern	54	Spider Cavern	Spider Cavern
Act 3 - Swampy Pit	55	Swampy Pit	Swampy Pit
Act 3 - Flayer Dungeon	56	Flayer Dungeon	Flayer Dungeon
Act 3 - Sewers	57	Sewers	Kurast Sewers
Act 3 - Ruined Temple	58	Ruined Temple	Ruined Temple
Act 3 - Disused Fane	59	Disused Fane	Disused Fane
Act 3 - Forgotten Reliquary	60	Forgotten Reliquary	Forgotten Reliquary
Act 3 - Forgotten Temple	61	Forgotten Temple	Forgotten Temple
Act 3 - Ruined Fane	62	Ruined Fane	Ruined Fane
Act 3 - Disused Reliquary	63	Disused Reliquary	Disused Reliquary
Act 3 - Durance of Hate	64	Durance of Hate	Durance of Hate
Act 4 - Town	65	The Pandemonium Fortress	The Pandemonium Fortress
Act 4 - Outer Steppes	66	Outer Steppes	Outer Steppes
Act 4 - Plains of Despair	67	Plains of Despair	Plains of Despair
