id	Key	zhTW	rank	name	qty	inRune	outRune
2236	gcv	碎裂紫寶石	1	Chipped Amethyst	3	11	12
2237	gfv	瑕疵紫寶石	2	Flawed Amethyst	3	17	18
2238	gsv	紫寶石	3	Amethyst	2	23	24
2239	gzv	無瑕紫寶石	4	Flawless Amethyst	2	29	30
2240	gpv	完美紫寶石	5	Perfect Amethyst		mu	mu
2241	gcy	碎裂黃寶石	1	Chipped Topaz	3	10	11
2242	gfy	瑕疵黃寶石	2	Flawed Topaz	3	16	17
2243	gsy	黃寶石	3	Topaz	2	22	23
2244	gly	無瑕黃寶石	4	Flawless Topaz	2	28	29
2245	gpy	完美黃寶石	5	Perfect Topaz		in	in
2246	gcb	碎裂藍寶石	1	Chipped Sapphire	3	12	13
2247	gfb	瑕疵藍寶石	2	Flawed Sapphire	3	18	19
2248	gsb	藍寶石	3	Sapphire	2	24	25
2249	glb	無瑕藍寶石	4	Flawless Sapphire	2	30	31
2250	gpb	完美藍寶石	5	Perfect Sapphire		in	in
2251	gcg	碎裂綠寶石	1	Chipped Emerald	3	14	15
2252	gfg	瑕疵綠寶石	2	Flawed Emerald	3	20	21
2253	glg	無瑕綠寶石	4	Flawless Emerald	2	32	33
2254	gsg	綠寶石	3	Emerald	2	26	27
2255	gpg	完美綠寶石	5	Perfect Emerald		in	in
2256	gcr	碎裂紅寶石	1	Chipped Ruby	3	13	14
2257	gfr	瑕疵紅寶石	2	Flawed Ruby	3	19	20
2258	gsr	紅寶石	3	Ruby	2	25	26
2259	glr	無瑕紅寶石	4	Flawless Ruby	2	31	32
2260	gpr	完美紅寶石	5	Perfect Ruby		in	in
2261	gcw	碎裂鑽石	1	Chipped Diamond	3	15	16
2262	gfw	瑕疵鑽石	2	Flawed Diamond	2	21	22
2263	gsw	鑽石	3	Diamond	2	27	28
2264	glw	無瑕鑽石	4	Flawless Diamond			
2265	gpw	完美鑽石	5	Perfect Diamond			
2277	skc	碎裂骷髏石	1	Chipped Skull			
2278	skf	瑕疵骷髏石	2	Flawed Skull			
2279	sku	骷髏石	3	Skull			
2280	skl	無瑕骷髏石	4	Flawless Skull			
2281	skz	完美骷髏石	5	Perfect Skull		ny	se
